year,tmID,confID,avg_per,avg_height,players_awarded,playoff
9,ATL,EA,15.180034201602242,73.21428571428571,2.0,N
10,ATL,EA,19.189636367413268,72.53846153846153,5.0,Y
11,ATL,EA,16.6719151333393,72.91666666666667,3.0,
1,CHA,EA,15.0,71.6923076923077,0.0,N
2,CHA,EA,17.270528143722295,71.5,0.0,Y
3,CHA,EA,15.845492836931767,71.3076923076923,0.0,Y
4,CHA,EA,17.544791186102376,71.18181818181819,0.0,Y
5,CHA,EA,16.63025722304438,72.0,0.0,N
6,CHA,EA,17.237767981043557,72.0625,0.0,N
7,CHA,EA,16.49831883076448,72.91666666666667,0.0,N
7,CHI,EA,14.896107967742466,72.4,0.0,N
8,CHI,EA,15.592329475709553,71.5,0.0,N
9,CHI,EA,15.991620109597802,72.38461538461539,1.0,N
10,CHI,EA,16.13809158604136,71.91666666666667,1.0,N
11,CHI,EA,16.153843849144398,73.0,1.0,
1,CLE,EA,15.0,70.92307692307692,0.0,Y
2,CLE,EA,17.253202772910278,71.86666666666666,0.0,Y
3,CLE,EA,16.212036445571158,71.53846153846153,0.0,N
4,CLE,EA,16.921747455243374,71.72727272727273,1.0,Y
4,CON,EA,17.628514884134727,71.72727272727273,1.0,Y
5,CON,EA,19.440778392381727,71.0909090909091,1.0,Y
6,CON,EA,19.03025205569458,66.41666666666667,0.0,Y
7,CON,EA,19.329004636247586,67.07142857142857,1.0,Y
8,CON,EA,18.55893212274068,66.92307692307692,1.0,Y
9,CON,EA,18.02036429449066,71.15384615384616,0.0,Y
10,CON,EA,18.315214257033595,71.64285714285714,0.0,N
11,CON,EA,15.87468528967815,71.91666666666667,1.0,
1,DET,EA,15.0,71.46153846153847,0.0,N
2,DET,EA,17.575770205057342,71.83333333333333,0.0,N
3,DET,EA,16.207173910195017,71.73333333333333,0.0,N
4,DET,EA,16.70168424825912,72.23076923076923,0.0,Y
5,DET,EA,16.82017037722595,72.33333333333333,2.0,Y
6,DET,EA,18.04562918808493,71.86666666666666,2.0,Y
7,DET,EA,18.520073455185017,72.46153846153847,2.0,Y
8,DET,EA,17.890403390423458,72.23076923076923,3.0,Y
9,DET,EA,18.539517375232425,72.70588235294117,6.0,Y
10,DET,EA,18.75423812091815,72.46666666666667,8.0,Y
1,HOU,WE,15.0,72.08333333333333,0.0,Y
2,HOU,WE,15.2190470257477,71.9090909090909,1.0,Y
3,HOU,WE,15.917773580123713,71.35714285714286,4.0,Y
4,HOU,WE,19.176064974746296,71.66666666666667,7.0,Y
5,HOU,WE,16.295205498880136,72.0,7.0,N
6,HOU,WE,18.70261530718265,71.5,9.0,Y
7,HOU,WE,18.707644119424582,71.76923076923077,10.0,Y
8,HOU,WE,18.771529969619884,71.4,12.0,N
9,HOU,WE,19.09043996464025,71.28571428571429,3.0,N
1,IND,EA,15.0,72.33333333333333,0.0,N
2,IND,EA,15.72150530329886,71.92307692307692,0.0,N
3,IND,EA,16.779459238949283,71.15384615384616,0.0,Y
4,IND,EA,16.428444810013527,71.3076923076923,1.0,N
5,IND,EA,18.457415750642102,72.58333333333333,1.0,N
6,IND,EA,19.20455017046706,71.66666666666667,2.0,Y
7,IND,EA,16.38095701193444,71.66666666666667,2.0,Y
8,IND,EA,18.13434814718531,72.58333333333333,4.0,Y
9,IND,EA,18.40729630700399,72.0,6.0,Y
10,IND,EA,18.806465332991056,71.85714285714286,9.0,Y
11,IND,EA,19.91664728358445,71.54545454545455,6.0,
1,LAS,WE,15.0,72.63636363636364,0.0,Y
2,LAS,WE,20.039402407469527,70.9090909090909,0.0,Y
3,LAS,WE,18.065859055768723,72.76923076923077,3.0,Y
4,LAS,WE,18.85577625484463,72.33333333333333,6.0,Y
5,LAS,WE,21.541581523240694,72.15384615384616,6.0,Y
6,LAS,WE,20.163534483733535,72.35714285714286,8.0,Y
7,LAS,WE,19.870430544540522,72.64285714285714,8.0,Y
8,LAS,WE,17.744323650576636,72.6,3.0,N
9,LAS,WE,18.144619175552087,67.4,10.0,Y
10,LAS,WE,20.937460275149455,71.36363636363636,16.0,Y
11,LAS,WE,20.276119820971015,72.81818181818181,6.0,
1,MIA,EA,15.0,71.53846153846153,0.0,N
2,MIA,EA,13.857649005211929,71.91666666666667,0.0,Y
3,MIA,EA,15.408166063942215,72.2,2.0,N
1,MIN,WE,15.0,70.76923076923077,0.0,N
2,MIN,WE,14.507025854907678,72.25,1.0,N
3,MIN,WE,15.489314077412251,72.0,1.0,N
4,MIN,WE,15.731720831774231,72.54545454545455,0.0,Y
5,MIN,WE,15.534492240055028,73.0,0.0,Y
6,MIN,WE,16.41880522618063,71.33333333333333,0.0,N
7,MIN,WE,15.793132768704684,72.0,0.0,N
8,MIN,WE,16.89323508586872,71.41666666666667,1.0,N
9,MIN,WE,17.882307624288497,71.8,1.0,N
10,MIN,WE,19.314508451049225,72.76923076923077,3.0,N
11,MIN,WE,23.20732364256091,72.63636363636364,3.0,
1,NYL,EA,15.0,72.23076923076923,0.0,Y
2,NYL,EA,17.26850218335734,71.6,1.0,Y
3,NYL,EA,18.33293090617778,72.0909090909091,2.0,Y
4,NYL,EA,18.436704547733978,71.66666666666667,1.0,N
5,NYL,EA,17.944121521539778,72.08333333333333,1.0,Y
6,NYL,EA,16.96809778659113,71.93333333333334,0.0,Y
7,NYL,EA,14.474607359862112,72.21428571428571,0.0,N
8,NYL,EA,12.661130018860002,72.35714285714286,0.0,Y
9,NYL,EA,14.566346015975915,71.84615384615384,1.0,Y
10,NYL,EA,16.741721339445515,72.72727272727273,1.0,N
11,NYL,EA,18.181142035970325,73.5,2.0,
1,ORL,EA,15.0,71.15384615384616,0.0,Y
2,ORL,EA,14.930606100511325,72.16666666666667,0.0,N
3,ORL,EA,14.628245392308473,72.5,0.0,N
1,PHO,WE,15.0,72.21428571428571,0.0,Y
2,PHO,WE,14.675971724878595,71.5,0.0,N
3,PHO,WE,13.358122839922467,73.06666666666666,0.0,N
4,PHO,WE,14.954004561703208,71.57142857142857,0.0,N
5,PHO,WE,16.148445621111563,73.35714285714286,0.0,N
6,PHO,WE,16.938384203877483,73.06666666666666,1.0,N
7,PHO,WE,17.108375913972832,71.875,2.0,N
8,PHO,WE,17.96064392547098,72.15384615384616,3.0,Y
9,PHO,WE,16.6714848354578,72.14285714285714,4.0,N
10,PHO,WE,21.309027495404802,71.83333333333333,4.0,Y
11,PHO,WE,20.55671133386463,72.33333333333333,6.0,
1,POR,WE,15.0,72.16666666666667,0.0,N
2,POR,WE,16.75941934279456,71.61538461538461,0.0,N
