year,tmID,confID,avg_per,avg_height,players_awarded,playoff
9,ATL,0,15.180034201602242,73.21428571428571,2.0,0.0
10,ATL,0,19.189636367413268,72.53846153846153,5.0,1.0
11,ATL,0,16.6719151333393,72.91666666666667,3.0,-1.0
1,CHA,0,15.0,71.6923076923077,0.0,0.0
2,CHA,0,17.270528143722295,71.5,0.0,1.0
3,CHA,0,15.845492836931768,71.3076923076923,0.0,1.0
4,CHA,0,17.544791186102376,71.18181818181819,0.0,1.0
5,CHA,0,16.63025722304438,72.0,0.0,0.0
6,CHA,0,17.237767981043557,72.0625,0.0,0.0
7,CHA,0,16.49831883076448,72.91666666666667,0.0,0.0
7,CHI,0,14.896107967742466,72.4,0.0,0.0
8,CHI,0,15.592329475709551,71.5,0.0,0.0
9,CHI,0,15.991620109597802,72.38461538461539,1.0,0.0
10,CHI,0,16.13809158604136,71.91666666666667,1.0,0.0
11,CHI,0,16.153843849144398,73.0,1.0,-1.0
1,CLE,0,15.0,70.92307692307692,0.0,1.0
2,CLE,0,17.253202772910278,71.86666666666666,0.0,1.0
3,CLE,0,16.212036445571158,71.53846153846153,0.0,0.0
4,CLE,0,16.921747455243374,71.72727272727273,1.0,1.0
4,CON,0,17.628514884134727,71.72727272727273,1.0,1.0
5,CON,0,19.440778392381727,71.0909090909091,1.0,1.0
6,CON,0,19.03025205569458,66.41666666666667,0.0,1.0
7,CON,0,19.329004636247586,67.07142857142857,1.0,1.0
8,CON,0,18.55893212274068,66.92307692307692,1.0,1.0
9,CON,0,18.02036429449066,71.15384615384616,0.0,1.0
10,CON,0,18.315214257033595,71.64285714285714,0.0,0.0
11,CON,0,15.87468528967815,71.91666666666667,1.0,-1.0
1,DET,0,15.0,71.46153846153847,0.0,0.0
2,DET,0,17.575770205057342,71.83333333333333,0.0,0.0
3,DET,0,16.207173910195017,71.73333333333333,0.0,0.0
4,DET,0,16.70168424825912,72.23076923076923,0.0,1.0
5,DET,0,16.82017037722595,72.33333333333333,2.0,1.0
